p_id,u_id,u_rate,review,review_en
b12,narea,4,선선하게 좋은곳,a cool and nice place
e23,narea,2,불친절,unkindness
f180,navi,2,우선 기본적으로 김치 부추 삼겹살이면  이 세가지는 괜찮아야하는데 삼겹살도 퍽퍽하니 맛이없고 부추는 젓가락을 댈수 없을 정도로 절여져서 숨이 죽어있었습니다 일하시는분들의 그릇 떨구는 소리 쟁반 정리하는 소리들이 정말 집어 던지는 줄 알았습니다. 음악이 적은 상태면 아 이정도는 날수 있지 하지만 음악도 너무 커서 정말 머리가 울리는 상태인데다가 이런소리가 계...더보기,"First of all, if it were kimchi, chives, samgyeopsal, these three things should be fine, but samgyeopsal was so dry that it was so pickled that I couldn't use the chopsticks that were out of breath. I thought the sounds of the people who work were really throwing away the dishes and the sounds of the tray arrangement of the trays. If there's little music, I can fly like this, but the music is so loud that my head is ringing and there's this sound...To see more details"
c139,neverhearts,4,잼나게 보고가요~~ 역앞이라 편함.ㅋㅋㅋㅋ,Enjoy the show~~ Comfortable to be in front of the station.LOL
f174,nickey,5,모 아역배우 팬미팅차 참석했는데 시설 정말 좋고 토론하기도 좋은곳입니다  다만 카페라뗴가 맹탕입니다 ㅠㅠ,I attended a fan meeting with a child actor and it is a great place to discuss with him.  But the cafe latin is a big bath. ᅲᅲ
f259,noname,5,판타스틱듀오 김수희랑 같이 노래 불렀던 까치산 커피프린스!,The magpie coffee prince who sang with fantastic duo Kim Soo Hee!
f249,noname,5,판타스틱듀오 김수희랑 같이 노래 불렀던 까치산 커피프린스!,The magpie coffee prince who sang with fantastic duo Kim Soo Hee!
b17,nujay,3,보통이에요,Normal.
f147,nuny,1,알바생이 너무 시끄러워요.. 보통 만화방 좀 조용한 분위기 아닌가요 덕분에 다른 사람들까지 시끄러워서 만화읽기엔 전체적으로 떠들석한 분위기였습니다 참고하세요...,"The part-timer is too loud. It's usually quiet at the comic book store, so it's noisy for everyone else to read. Please refer to..."
f157,nuny,1,알바생이 너무 시끄러워요.. 보통 만화방 좀 조용한 분위기 아닌가요 덕분에 다른 사람들까지 시끄러워서 만화읽기엔 전체적으로 떠들석한 분위기였습니다 참고하세요...,"The part-timer is too loud. It's usually quiet at the comic book store, so it's noisy for everyone else to read. Please refer to..."
f1611,oOo,1,층별 사진으로 보이는 장소는 극히 일부이고 너무 장소가 협소합니다. 노래방칸은 들어가기도 어렵고 만화방은 만화방이라고 하기 어려운.. 1층이 제일 나을 정도...,"There are only a few places that appear to be floor-specific pictures, and they are too small. Noraebang is hard to enter and comic book room is hard to call.. The first floor is the best..."
a19,oasis,1,맥주 한잔에 15000원 ㄷㄷㄷ 4명이 볼링 한게임 쳤더니 10만원 ㅋㅋㅋ 시설은 좋은데 너무 비쌉니다,"15,000 won for a glass of beer. 4 players played a game of bowling. 100,000 won. The facilities are good, but it's too expensive."
b155,occasion,5,공사중,under construction
b165,occasion,5,공사중,under construction
f163,octsky,5,무엇보다 안마기가 고급스럽고 편했습니다. 인테리어도 괜찮았구요.,"Above all, massage was luxurious and comfortable. The interior was nice."
a614,ok,5,볼링장 이  깨끗하고  넓어서  좋고  게임도 잘 쳐서  기분 좋고 ~~ 아니 TV에서 만 보았던 양궁장도  있고  처음 해 보니  신기하고 재미 있어네요 타임스퀘어에  볼링장이  있으니 너무 좋아요   친구들과 게임 하려 가야지 ~   다음엔  스트라이크 연속 2번 쳐야지  ~  쉽지 안네요**,"It's nice that the bowling alley is clean and spacious, and I'm happy that I played the game well~~~~~ There's an archery field that I've only seen on TV. It's amazing and fun to try it for the first time. It's so nice to have a bowling alley in Times Square.   I'm going to play games with my friends. Next time, I'm going to hit strikes twice in a row. It's not easy.**"
a514,ok,5,볼링장 이  깨끗하고  넓어서  좋고  게임도 잘 쳐서  기분 좋고 ~~ 아니 TV에서 만 보았던 양궁장도  있고  처음 해 보니  신기하고 재미 있어네요 타임스퀘어에  볼링장이  있으니 너무 좋아요   친구들과 게임 하려 가야지 ~   다음엔  스트라이크 연속 2번 쳐야지  ~  쉽지 안네요**,"It's nice that the bowling alley is clean and spacious, and I'm happy that I played the game well~~~~~ There's an archery field that I've only seen on TV. It's amazing and fun to try it for the first time. It's so nice to have a bowling alley in Times Square.   I'm going to play games with my friends. Next time, I'm going to hit strikes twice in a row. It's not easy.**"
c161,olive,5,넘 좋았어요~~~~:-)) 합리적인 가격과 분위기 이색데이트로 제격입니다:-),It was great~~~:-) It's a reasonable price and a unique atmosphere:-)
f40,outofmind,1,어떤게임은설명가능 또는불가능 게임종류도별로없고 냄새도나고,"Some games don't have many kinds of games that can or can't be explained, and they smell."
f50,outofmind,1,어떤게임은설명가능 또는불가능 게임종류도별로없고 냄새도나고,"Some games don't have many kinds of games that can or can't be explained, and they smell."
f176,p,3,맛은 그냥 그렇고 양은 생각보다 많다 2019.1.4,"The taste is just as good, but the amount is more than I thought. 2019.1.4"
b84,pH,5,안높고 멋져요,It's not high. It's cool.
b20,pH,4,좋아요,Okay.
b912,pH,5,뷰!,View!
b96,paragate,5,주차장 없어서 사람없어 좋음. 시민의숲 역에서 도보 15분 거리.,It's nice to have no parking lot. A 15-minute walk from Citizens' Forest Station.
b92,park,4,초등학교 저학년까지는 재밌게 놀수있음.. 전망도 좋음,"I can have fun until the lower grade of elementary school. Nice view, too."
c712,perfumer,5,가끔가던  곳이었는데 얼마전에 오랜만에 들렀더니 전에 없던 순정만화가 많이 있어서 어찌나 반갑던지~저 갈때마다 귀찮게 이것저것 찾아달라고 귀찮게하는데도 미소로 반겨주시는 사장언니 저 단골될게요~~,"I used to go there from time to time. I stopped by after a long time, and I was so glad to see so many comic books that weren'I'll be a regular customer of the owner who greets me with a smile even though I bother to find this and that whenever I'll be a regular customer.~~"
b2410,piazza,1,관리가안되어 을씨년스러움. 서울숲에 편입시켜 관리를하거나 물을빼고 개발을하는게 낫지 않을까 싶습니다.,I think it would be better to transfer it to Seoul Forest or develop it without water.
f169,quizzzzz,2,"2/16일 오픈시간에 맞춰 슈퍼보드 1호점과 2호점 모두 갔지만, 문이 닫혀 있어 다른곳에 갔다","I went to both Superboard 1st and 2nd stores in time for the opening of February 16th, but the doors were closed, so I went to other places."
b49,raskoli,5,도보통로에 자전거를 끌고 가라는 안내 문구는 이곳이 가장 마음에 들게 하는 부분이네요 어릴때부터 자녀에게 가르쳐야할 중요한 점이지요 그런데 그런 문구가 있는데도 다른 사람의 불편과 위험도 아랑곳않고 타고 다니는 돼먹지못한 인간이 있네요,"This is the best part of the walkway that I like the most about this place, and it's important to teach my children from an early age, but there's a man who doesn't care about other people's inconvenience or danger."
b14,raskoli,4,자전거가 섬안에 침투를 못하게 막아놓은 정책이 젤 잘한것 같습니다,I think the best policy was to keep bicycles out of the island.
b37,ripnujabes,4,출사가기 딱 적격,perfect for a business
a37,rjstnrla,5,안녕하세요.대룡빌딩지하1층볼링장에주차장도지하4층까지완비넗고확트인12레인조명도L.E.D로바꿔서분위기도좋읍니다.이용하시는데불편이없도록스쿠아화면도큰L.E.D로대처하여읍니다.늘가족같이모시게읍니다.,"Hello. The bowling alley on the 1st floor of the Daeryong Building has been changed to the 4th floor of the parking lot and the 12th lane lighting L.E.D., so the atmosphere is good.The Scua screen will also be treated as a large L.E.D. so that there is no inconvenience in using it.We always serve you as a family."
f231,rlflqh,5,남자친구랑 같이다녀왔는데 예쁜반지 만들고왔네요! 처음인데 잘가르쳐주시니 기분이좋아요~,"I was with my boyfriend and he made a pretty ring! It's my first time, but I'm glad you taught me well."
b412,roadrunner,4,좋아요,Okay.
f1611,roi,5,진짜 꾸르플레이스,real cufflase
f170,rot,1,"네이버 리뷰보고 갔는데 태어나서 제일 맛없는 피자먹어봄...플라스틱씹는 맛에 피자도 냉동피자 데운맛. 도우가 1mm인데 치즈도 1mm에 플라스틱치즈   가성비 전혀없고 그냥 크기만  큼. 맛1도없음. 이마트피자, 피자스쿨이 100배 맛있음, 맥주도 그냥...","I went to Naver review and ate the worst pizza in my life...It's like chewing on plastic, and pizza is also hot. 1mm of dough, 1mm of cheese, no cost-effectiveness of plastic cheese, just big size. E-Mart pizza, pizza school is 100 times better, beer is just..."
a211,ryu,1,별 한개도 아까움 볼링공이랑 볼링장도 되게 상태 안좋고 여기저기 스크래치 나 있어서 볼링 치기 싫어짐. 그렇다고 알바들 서비스가 친절하고 좋은 것도 아니고 무조건 음료 시켜야된다는데 젤 싼 음료가 약 만 원... 그것도 볼린 한 게임 치고 대기 있으면 쫓겨나듯이 바로 빠져줘야됨. 이따위로 장사하면 누가 이런 데 와서 놀겠나여 다들 모르고 갔다가 바가지 쓰고...더보기,"I don't want to play bowling because the bowling ball and bowling alley are not in good condition and there are scratches everywhere. But the service for part-timers is not good, and they say we have to order drinks, but the cheapest drink is about 10,000 won. You have to get out of the game as if you're going to be kicked out. Who's going to play here if you're in business like this? You're going to rip off without knowing.To see more details"
c147,s,5,아늑하고 깨끗하고... 사장님이 관리를 정말 잘 하시는 곳 입니다. ,"It's cozy, it's clean... It's a place where the boss is really good care of."
c157,s,5,아늑하고 깨끗하고... 사장님이 관리를 정말 잘 하시는 곳 입니다. ,"It's cozy, it's clean... It's a place where the boss is really good care of."
f1512,s,5,아늑하고 깨끗하고... 사장님이 관리를 정말 잘 하시는 곳 입니다. ,"It's cozy, it's clean... It's a place where the boss is really good care of."
f38,s,5,사장님이 친절하시고 설명도 잘해주세요.,The boss is kind and explains it well.
f1412,s,5,아늑하고 깨끗하고... 사장님이 관리를 정말 잘 하시는 곳 입니다. ,"It's cozy, it's clean... It's a place where the boss is really good care of."
g84,s,5,"깔끔합니다. 무선마이크, 마이크덮개 있고 카드 결제도 가능하고요. 널널하고 쾌적하고 화장실도 깨끗하고 집 가까운 코노 여기뿐이여서 넘 조아요","It's neat. There's a wireless microphone, a microphone cover, and you can pay with a card. It's spacious and comfortable, the bathroom is clean, and this is the only coin near my house."
f238,sSsay,5,남자친구랑 항상 잘 놀고 갑니당 ~~!! 사장님들 핵인싸 레드락과 새우감바스최고!,Have fun with your boyfriend all the time~!! Red Rock and shrimp gambas are the best!
b911,sUNg jONg gEUn,5,최고예요,It's the best.
b1411,sajacall82,1,여기가 공원이냐? 문화센터 소속 테니스장이지. 별0개줄건데 왜자꾸 선택하래. 별1개 아까비;;,"Is this a park? It's the cultural center's tennis court. I'm going to give you zero stars, but why do you keep telling me to choose? One star is a waste;"
a19,saratoga,1,직원 불친절. 또 첫번째 방문은 쿠폰 사용 못함(그런 공지도 없었고 잔화 상담에도 그런 말 없었음),"Employee unfriendliness. Also, the first visit failed to use coupons (no such notice, no such word was given to the rest of the conversation)."
a311,savewater,1,별 한개도 아깝다. 손님이 사장알바 눈치보면서 게임 해야함.. 차라리 근처에 삼성 레포츠로 가세요,It's a waste of even a single star. The customer has to play the game while looking at the boss. Go to Samsung Leports nearby.
b20,sbchoi,5,최고예요,It's the best.
b14,sbchoi,5,가족과 함께 만드는 추억,Memories made with family
a43,scully35,5,최고예요,It's the best.
a312,sdfasd,1,직원 예절 교육좀 똑바로 했으면 좋겠어요 ㅋㅋ 같이 가시는분들도 왜 이렇게 직원들이 예의가 없냐고 자주 말함~ 저번에 탁구채 줄수있냐고 정중하게 문의했는데 아 탁구채 없다고요 하고 소리치더라고요ㅋ 지만 바쁘고 화나는줄 아나봄ㅎㅎ 다음부터 절대 안갑니다ㅋ,"I want you to do your staff etiquette training properly. People who go with me often say why employees are so rude. Last time, I politely asked him if he could give me a ping pong paddle, and he shouted, ""Oh, I don't have one."" He thought he was busy and angry. He never leaves next time.LOL"
a114,se,1,허위광고,false advertising
e29,seain,1,알바 관리 좀 제대로 합시다.. 매니저분? 남자분(사장님인지) 말고 여자 알바 2명인가 있는데 탈출하고 궁금한거 없으시냐고 물어보는데 저희 그날 일찍 입장했는데도 빨리 말해달라고 다음팀 기다린다고 하더니.. 답도 겁나 빠르게 하고 못푼 단서 하나 어딨냐고 하니까 턱하고 손으로 가리키고 탈출기념 사진은 하나둘셋하나둘셋하나둘셋을 3초안에 하더니 다 찍어버리고 ...더보기,"Let's take care of our part-time jobs. The manager? I have two female part-timers, not a guy. They asked if we had any questions after we escaped. We came in early that day, and they said they were waiting for the next team to tell us quickly. He answered so quickly and pointed at me with his chin and hands, and he took pictures of the escape in three seconds and took them all.To see more details"
f37,sherly,4,깨끗하고 새로운 게임 많음! 사람들이 많아서 설명은 좀 빨리끝내셨어요.. ,"Lots of clean and new games! There were a lot of people, so you finished explaining quickly."
a214,shine,1,카운터 직원들이 친절은 커녕 오히려 손님들에게 목에 힘주고 갑질하는 한심한 볼링장,"a pitiful bowling alley where the counter staff, let alone kindness, exerts strength on the neck to the guests and overuses them."
c189,shyeonh,5,분위기좋아요,Nice atmosphere.
b14,sil,5,오래 되어도 빛을 발하는 구조물들과 초록초록의 아름다운 공원. 아이들 미끄럼틀이 주변 건축물과 매우 조화롭게 디자인 되었다! 모래놀이 장난감도 꼭 챙겨가야 함. ,Old but glowing structures and beautiful green parks. Children's slides are designed in great harmony with the surrounding buildings! Don't forget to bring sand toys.
b14,simplysimon30,5,A magical location to visit ,A Magic location to vision
f1611,simplysimon30,1,Old massage chairs - smelly and some don’t work ,Old massages chairs - smelly and some don't work
c161,simplysimon30,5,Awesome location!,Awesome location!
a17,simplysimon30,1,The bowling alley is awesome but the manager or supervisor seems clearly abusive of his staff.. last night we saw a team member being verbally abused by his supervisor on the bar - please consider this when deciding where to bowl 볼링장은 멋지지만 매니저나 감독관은 분명히 직원들을 학대하는 것 같아요. 어젯밤 우리는 술집에서 한 팀원이 그의 상관에게 폭언을 하는 것을 보았습니다. 어디서 그릇을 담아야 할지 결정할 때 이것을 고려해 주세요!접기,"The bowling alley is around but the manager or the supervisor seats clear of his staff. Last night we saw a team member being very much used by his supervisor on the bar - please concierge this time when deciding where to bowl bowling alley is cool, but the manager or supervisor obviously seems to abuse employees. Last night we saw a team member verbally abusing his boss at a bar. Please consider this when deciding where to put the bowl!Folding"
d112,sjh,1,이딴쓰레기같은곳은 처음봄 진심 주말가격 : 1인에 3시간기준 13000원  셀프바가 뭐가셀프바인지?;; 팝콘 알로에 페트음료에 걍 모든게 페트병 냉장고에없는 상온에있는 페트병음료가전부다 이렇게 비싼돈받고 쓰레긴같은곳은 안가는게 상책,"This is the first time I've ever seen a place like this. Real weekend price: 13,000 won per person for 3 hours. What's self-bar?; Popcorn aloe pet drinks, everything in the room temperature that's not in the plastic bottle refrigerator, and it's best not to go to places like garbage after getting this expensive money."
a112,skdpdua,4,볼링장시설은깨끗하고  마쳔히칠수있어참좋습니다  근데프리타임이용에대한제약이점점  많아지는듯하네요  처음에이용했을때는아는사람을만나더라도  편안히혼자서레인을이용할수있어  시간에비례하여맘껏칠수있었는데  오늘도연휴라프리타임을이용하러갔는데  레인사용에제약을주시더군요  16레인중에10레인이상이남아있었는데요  그래서즐건맘으로갔다가~~맘이좀~~  시설은좋습니다,"The bowling alley is very nice because it can be clean and clean.  But it seems that there are more and more restrictions on free-time use.  When I first used it, I could comfortably use the lane by myself even if I met someone I knew, so I could play it in proportion to time, but today I went to use the holiday free time and they restricted me from using the lane.  There were more than 10 lanes left in the 16th lane.  So go to the happy mommy~~~~The facilities are good."
f215,sky,1,맥락없이 뒤져서 문제푸는 방탈출.. 단계적으로 잘되있던 곳 가봤던 사람은 어이없을 수 있어요. ,Uncontextually searching for a problem-solving room escape room. People who have been to the best places in stages may be dumbfounded.
g89,sol,4,"생긴지 얼마 안돼서 그런지 깔끔하고 직원들도 친절해요. 요즘 들어 애용하고 있습니다. 500원에 2곡, 1,000원에 4곡이에요.","It's neat and the staff is kind, maybe because it hasn't been long since it was made. I've been using it a lot lately. Two songs for 500 won and four songs for 1,000 won."
e56,somsa,5,꿀잼이예요~~엄청 잘 되어 있고 홍대쪽도 가봤는데 청소 안하는 방탈출 카페 많던데 더메이즈는 청결한 편이였어요~ㅎㅎ 요즘 날씨도 추운데 밖에서 할거도 없는대 남친이랑 같이 놀기 좋은 곳이네요~~bb :^),"It's so much fun~~ It's really good and I've been to Hongdae, and there are a lot of escape room cafes that don't clean up. The Maze was clean.The weather is cold these days, but there's nothing to do outside. It's a good place to hang out with your boyfriend.~~bbb :^)"
e46,somsa,5,꿀잼이예요~~엄청 잘 되어 있고 홍대쪽도 가봤는데 청소 안하는 방탈출 카페 많던데 더메이즈는 청결한 편이였어요~ㅎㅎ 요즘 날씨도 추운데 밖에서 할거도 없는대 남친이랑 같이 놀기 좋은 곳이네요~~bb :^),"It's so much fun~~ It's really good and I've been to Hongdae, and there are a lot of escape room cafes that don't clean up. The Maze was clean.The weather is cold these days, but there's nothing to do outside. It's a good place to hang out with your boyfriend.~~bbb :^)"
a115,sshdr,1,2점보다 낮게 줄순 없는건가요? 서비스 완전 별로입니다.레인 청소도 안하는지 한두번 굴리니 손이 시꺼매지고공도 깨진게 좀 있던데 관리를 안하시나봐요시설은 완전 구식이고요번창하세요^^,"Can't you give it lower than two points? The service is terrible.I don't know if you're cleaning the lane or not, and after rolling it once or twice, your hands are black and your balls are broken, but you don't take care of them.The facility's completely out of date. It's sunny.^^"
b310,ssong,5,정말 최고예요,It's really the best.
a410,ssoo,1,별 하나도 아깝네요. 시설도 구리고 불친절하고 요금도 비쌉니다. 다신 안가요,"What a waste of stars. Facilities are poor, unkind, and expensive. I won't go again."
a614,ssu8972,5,새로 오픈한 만큼 시설이 너무 좋네요 단체 동호회모임에 완전 강추합니다.^^,The new facility is so nice. I strongly recommend a group club meeting.^^
a514,ssu8972,5,새로 오픈한 만큼 시설이 너무 좋네요 단체 동호회모임에 완전 강추합니다.^^,The new facility is so nice. I strongly recommend a group club meeting.^^
f1611,ssun,5,시간관계없이 갈수잇는곳이라 좋았어요 분위기도 좋구 여러가지 즐길거리가 많아서 시간도 잘가구요^^,"It was nice to be able to go without any time. The atmosphere is good and there are many things to enjoy, so time flies well.^^"
c162,su22,5,완전조아조아^^~~~~~~~~~~~,I'm so sorry~~~~~~~~~~~~~~~
g812,swahn06,5,시설도 깨끗하고 사운드도 좋네요~^^,The facilities are clean and the sound is good.^^
f14,syoooon,3,"여자 알바생분 설명 진짜 깔끔하고 바로 알아들을 수 있었어요. 다만, 안경끼고 키작은 남자분.... 저희 들어올때부터 틱틱거리더니 계속 휴대폰만 보고있더라구요. 일하기 싫으면 그만두시길.. 그 알바생 빼고는 다 친절했어요","I could understand the female part-timer's explanation right away. However, a man with glasses and short glasses... He was ticking when we came in, and he kept looking at his cell phone. If you don't want to work, quit. Everyone was kind except the part-timer."
f89,s링,5,카드게임하기에 넘 편한 테이블인것 같습니다...조용한 공간과 친절한 방송PD 출신 사장님의 서비스 마인드가 게임하는사람들에게 편안함을 주시는거 같아용!!!,I think this table is too comfortable to play cards...I think the quiet space and kind-hearted CEO's service mind make the game players feel comfortable!!!
b1110,t,5,최고예요,It's the best.
b22,t,5,최고예요,It's the best.
c613,t,5,"제가 가본 곳들중에 유일하게 24시간 운영이고 3, 4층이라 자리도 많습니다. 음식도 맘에 들어요","It's the only place I've ever been to that it's open 24 hours a day and there are lots of seats on the 3rd and 4th floors. I like the food, too."
b1010,t,5,최고예요,It's the best.
b146,t,5,최고예요,It's the best.
c180,thshsys,4,관리 잘되구 쾌적해요 흡연실이 건물옥상인건 단점,It's good and pleasant. Smoking is a building rooftop is a disadvantage.
b18,tjqlfkqslwk,2,산책이라기엔 넘나 오르막길,"It's not a walk, it's a climb."
b17,tkhsjr,4,좋아요,Okay.
a61,tkhsjr,3,보통이에요,Normal.
a51,tkhsjr,3,보통이에요,Normal.
b15,tkhsjr,4,좋아요,Okay.
f172,tonoboss,5,서비스좋고 안주맛도 좋아요~ 강남살면서 자주찾는 술집^^,The service is good and the food tastes good. I often visit a bar in Gangnam.
c1611,u,5,내가 가본 놀숲중에서 가장 퀘적하고 한적함 청소 꼼꼼하게 해주시는것 같아요 앞으로도 잘부탁드려요,"Among the forests I've been to, you seem to clean up the most quaint and quiet. I hope you'll continue to do your best."
f1812,u,5,내가 가본 놀숲중에서 가장 퀘적하고 한적함 청소 꼼꼼하게 해주시는것 같아요 앞으로도 잘부탁드려요,"Among the forests I've been to, you seem to clean up the most quaint and quiet. I hope you'll continue to do your best."
e810,uni,1,가지마세요 상자 자물쇠도 안채워놓는 세팅실수해놓아서 처음 10분 시간낭비했어요. 제가 잘못하는건가싶어서 직원부르니까 사과 한마디없이 세팅실수도 인정하지않고 원치도않는 힌트알려줘놓고 나가버림. 여직원 교육좀 시켜주세요. 타업체들보다 전반적으로 불친절함,"Don't go. I wasted the first 10 minutes because I made a mistake setting the lock on the box. I thought I was doing something wrong, so I called the staff, and they left without apologizing, they didn't acknowledge my mistake and didn't want to give me a hint. Please train the female staff. generally unkind to others"
f614,v,5,무한맥주 먹고 보드카페도 하고 좋은거 같아요,I think it's good to have unlimited beer and board cafes.
b1413,vluecat,3,근처 유일한 공원. 애견 산책 필수코스라 개똥 많음.,"The only park nearby. It's a must for dogs, so there's a lot of dog poop."
b145,vluecat,4,뜬금없이 있어서 반가움,glad to be out of the blue
b69,vluecat,4,아무것도 없긴 한데 사람도 없어서 좋음,"I'm glad there's no one, but no one."
b59,vluecat,4,아무것도 없긴 한데 사람도 없어서 좋음,"I'm glad there's no one, but no one."
f1714,vous,3,여기서 까르보나라 먹구 배앓이 했어요 저만 그런가했는데 같이 온 사람도 같이 배앓이함 ㅠㅠ 음식에 문제있는거같아여..,"I ate Carbonara here and had a stomachache. I thought it was just me, but the person who came with me also had a stomachache. I think there is a problem with the food."
a36,warantonia,5,와 처음 가봤는데 인테리어랑 조명 예쁘네요 헐크 스테츄도 있고 볼링치고 사진찍기도 괜찮아요,"Wow, I've never been there, but the interior and lighting are pretty. There's Hulk Stetch, bowling and taking pictures."
a11,wind,5,아놧~ 1시간 넘게 기다리다 겨우 쳤어요 ㅋㅋ 다행히 옆에 당구장 있길래 지루하진 않았음.. 기다려야 한단 말에 더 오기가 생겨서 치고싶어졌다능~ 겜비 물려서 좀 억울하긴 하지만..  음료수 엎구 그래서 좀 죄송했는데 친절히 대해주셔서 감사했습니당 담에 또 갈께요~ 간만에 재밌었던듯..,"Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh When I said I had to wait, I got more nervous and wanted to play.It's not fair to be bitten by Gambi, but...  I'm sorry to spill my drink, but thank you for being nice to me. I'll be back next time. It's been a while since I've had fun."
b31,windaddy,4,나 세금 많이 냈다......  시민의 품으로 ..돌려다오......,I paid a lot of taxes... ...in the arms of the citizens.Give it back... ...
e610,wo,5,그래도 엉뚱한 문제도 없고 ㅋㅋ 이만하면 괜찮은 집!!,There's nothing wrong with it. It's a good house!
b16,wo,5,최고예요,It's the best.
c21,wonwoo,5,와우~우리동네에 만화카페 하나 있었으면 했는데요...똭!! 생겨서 좋아요ㅎㅎ 일단 넓고 인테리어 깔끔하고~ 아메리카노 넘 맛나요 ㅋㅋ 아마도 자주 갈듯해요~~,"Wow, I wish there was a cartoon cafe in my neighborhood. I'm happy to have one.First of all, it's wide and the interior is clean. Americano is so delicious. I think I'll go there often."
b512,wow,5,최고예요,It's the best.
b25,wow,5,여기 멘하튼에있는 공원이랑 되게 비슷하다,It's very similar to the park in Manhattan.
b18,wow,5,최고예요,It's the best.
b612,wow,5,최고예요,It's the best.
b27,wow,5,최고예요,It's the best.
b37,wow,4,왜 위험하게 성남공항 활주 진입구간에 만들어놨지?,Why did you make it dangerous in-run entrance to Seongnam Airport?
b28,wow,5,최고예요,It's the best.
c169,ww,1,일관성있게 불친절하고 예의가 없음,Consistently unkind and unmannered
b23,x,5,편의점잘되어있고편함  평일에사람별로없음,Convenience store is well organized and convenient. No one is available on weekdays.
g81,xx,5,음향 시설 완전 좋아요 음향은 진짜 홍제에서 제일 좋은듯 문이 전체가 불투명이었음 혼코노하기 더 좋았을텐데 아쉬워여 그리고 1000원에 3곡이라 코노중에 비싼편 그래도 새벽 두시~두시반까지 해서 좋아요 그나마 홍제코노중 제일 오래열어요,"I love the sound system. The sound is the best in Hongje. If the whole door was opaque, it would have been better to do a coin karaoke alone. It's a shame. And since it's three songs for 1,000 won, it's expensive in the morning.It's good to be here until 2:30. It's the longest red coin karaoke."
c14,xxxx,4,만화카페같지만 사실은 맛집,"It looks like a comic cafe, but it's actually a good restaurant."
a62,yab,5,볼링 이외 놀꺼리도 많고 볼링장 시설도 깔끔하구 좋네요 ^^,There are many other things to play besides bowling and the facilities of the bowling alley are nice. ^^
a52,yab,5,볼링 이외 놀꺼리도 많고 볼링장 시설도 깔끔하구 좋네요 ^^,There are many other things to play besides bowling and the facilities of the bowling alley are nice. ^^
a42,yangkikap,1,모든 직원이 불친절하고 레인은 썩을대로 썩어서 다신 가고싶진않네요 ㅠㅠ  그냥 가까운 다른 볼링장으로 갈껄 그랬어요 ㅠㅠ,I don't want to go again because all the employees are unfriendly and Lane is rotten. I should have just gone to another bowling alley nearby.
c168,yeah,1,직원들이 너무 불친절하네요..,The employees are so unkind.
f184,yeah,1,직원들이 너무 불친절하네요..,The employees are so unkind.
c191,yesyesyes-yes,1,여기 겨울에는 춥고 여름에는 더워요. 난방비 아까운지 춥다 그러면 난방기계 하나만 켜주고... 겨울에 엄청 건조해요. 건조하다고 건의해도 뭐... 바뀐건 없더라구요. 그리고 11시 이후에는 무인인데 지문달랑 하나라서 그런지 중고등학생들 친구들 데려와서 엄청 시끄러워요... 새벽에 집중도 안되고... 사실 치안도 걱정되요. 화장실도 밖에 있어서 무서워요,"It's cold here in winter and hot in summer. If it's too cold or too wasteful, turn on the heating machine... It's very dry in winter. If you suggest it's dry... Nothing's changed. And after 11 o'clock, I'm an uninhabited person, but maybe it's because I have only one fingerprint, so I brought my friends from middle and high school and they're very loud. I can't concentrate at dawn... I'm actually worried about the security. I'm scared because there's a bathroom out there."
b3114,yisrael,5,놀이터와 몇개의 운동 기구가 있어서 자주 갑니다. 아가들이 많은 동네라서 그런지 항상 놀이터가 북적거리네요. ,"I go there often because there is a playground and some sports equipment. The playground is always crowded, maybe because it's a neighborhood with lots of babies."
b3014,yisrael,5,놀이터와 몇개의 운동 기구가 있어서 자주 갑니다. 아가들이 많은 동네라서 그런지 항상 놀이터가 북적거리네요. ,"I go there often because there is a playground and some sports equipment. The playground is always crowded, maybe because it's a neighborhood with lots of babies."
g87,yj,1,처음으로 리뷰 달아보는데 방 2개 다 돈 먹고 적혀 있는 번호로 연락을 해도 받지를 않곸ㅋㅋㅋㅋ 기가 막혀서 리뷰 답니닼ㅋㅋ,"It's my first time writing a review, and I can't answer the phone number written on both rooms for the first time. It's just a review because it's a review."
a1013,yongjun kim,1,볼링장은 마음 넓고 사장이 욕을 해도 오히려 손님이 웃을수 있는 분만 가세요~전화상으로는 20분만 기다리래서 먼 곳을 갔더니 한시간을 기다리라해서 기다리다가 얼마나 남았냐고 물어보니 왜 대기자 명단에 안적었냐며 오히려 막 화를 내는데 ... 무서워서 나왔습니다. 더 웃긴것은 그 사람 사장인거 같던데... 친절 하지는 못해도 안내는 잘해야 기본 아닐까요?,"The bowling alley is spacious and only those who can laugh even if the boss curses you.On the phone, he told me to wait 20 minutes, so I went to a faraway place, and he told me to wait for an hour, and I asked him how much time I had left, and he got angry and asked why I didn't write it on the waiting list. I came out of fear. The funnier thing is that he's the boss. Even though you're not kind, isn't it the basic thing to know when you're well?"
